city,ep0,ep0F,ep1F,deltaExposure0,deltaExposure1,deltaNDVIGlobal0,deltaNDVIGlobal1,deltaNDVILocal,di
Shanghai,258268023.30098388,193567924.82808664,197664854.14753056,-25.051532762728492,-23.46522359944916,81.76361684615333,32.974788885665326,0.8500000000000001,0.5
Dhaka,131866518.95524879,74875854.18588045,78347127.62561592,-43.218449399357475,-40.586034843155,65.24351574483161,21.050130351694964,0.75,0.5
Osaka [Kyoto],203191232.6703599,164772918.75944585,164714504.7881341,-18.907466334062086,-18.936214607569788,33.27248071719834,16.918684312303547,0.63,0.5
Miami,43083775.25676496,31517633.835725404,33233431.086591914,-26.845700851676078,-22.86323357567501,71.43986908026102,22.37846074333831,0.7300000000000001,0.5
Kolkata,227994615.4396025,174300970.97936457,179639798.74731606,-23.55040023936959,-21.208753811598676,69.78405743427945,20.789888544210918,0.8700000000000001,0.5
Nagoya,96405540.15123624,75856128.37947556,76630109.96689308,-21.31559217398064,-20.51275284939065,42.93677637542837,24.408734643544168,0.8200000000000001,0.5
Bangkok,85371363.65865003,51600430.103792235,54922167.88009827,-39.55768317100794,-35.66675577574258,87.47155376615125,29.32712133076556,0.8,0.5
Detroit,37162638.03287753,30287128.347999036,31280117.939061478,-18.50113460404984,-15.829124102039861,37.94524038088463,16.60985427516391,0.75,0.5
Comilla,30989110.30239721,11026683.474947302,14771411.694249094,-64.4175538847454,-52.333540556321076,57.651389167319195,28.033827955485624,0.77,0.5
Delhi [New Delhi],516788064.6715856,434221328.3795229,434981324.90820205,-15.97690464166063,-15.829843093487666,143.59356776491614,32.08611395028379,0.77,0.5
Jieyang,75468176.94928461,51242309.56070248,52603525.812675774,-32.1007719649332,-30.29707627888523,54.36456104655455,20.911139470971804,0.78,0.5
Seoul,286389674.4729268,234807516.92057544,238898715.0539695,-18.011179225397516,-16.58263675405195,47.63694856619753,19.134004996841494,0.75,0.5
Phoenix,68510564.71281508,57681778.386056155,57595091.46746551,-15.806009441246612,-15.932540172607565,246.74830888863087,71.89546238067523,0.66,0.5
Beijing,320007664.0591794,273061444.6123929,278914545.4696857,-14.670342219711555,-12.841292007898394,55.47377795499588,17.33935699041426,0.64,0.5
Mexico City,246412477.96422887,201191997.31241012,200849282.31765866,-18.351538455119673,-18.49062028960421,108.69886917668079,35.14833489618441,0.66,0.5
Quezon City [Manila],145972021.52533314,104455798.84841898,105474123.3870669,-28.441219243996773,-27.743602996713935,43.68413488979431,14.643989332587818,0.7400000000000001,0.5
Toronto,75626631.21599022,62602994.3066515,64588979.95031441,-17.220966609160612,-14.594926533422058,32.92291314838287,10.426760725438257,0.7100000000000001,0.5
