city,ep,year,pop,epdays,epnights
Indianapolis,22985053.39297528,2011,2285858.8982976405,21999211.495865412,23970895.290085144
Indianapolis,35220183.63880932,2012,2317399.181849318,44664638.7304405,25775728.54717814
Indianapolis,10056058.043322269,2013,2348939.4605321344,9538119.221374594,10573996.865269946
Indianapolis,3652659.037062552,2014,2380479.7445976688,3810926.4160733144,3494391.658051789
Indianapolis,3849271.313122348,2015,2412020.0212849695,4276196.370013999,3422346.256230697
Indianapolis,12642818.236387804,2016,2440781.826591623,13357295.856604561,11928340.616171047
Indianapolis,9376338.919922901,2017,2469543.6340027004,12640716.01210742,6111961.827738382
Indianapolis,16659706.20628409,2018,2498305.4354146407,19767738.08358024,13551674.328987941
Indianapolis,14657423.45485732,2019,2527067.2433647006,15916329.16025472,13398517.749459919
Indianapolis,13917925.372730082,2020,2555829.052104001,15520269.388672069,12315581.356788095
Kansas City,21815252.85641931,2010,2410482.758132615,18664755.922415182,24965749.790423438
Kansas City,34830976.12734311,2011,2434484.0772638535,32281787.269185018,37380164.98550121
Kansas City,53150769.514639854,2012,2458485.397580424,60476729.24887817,45824809.78040154
Kansas City,16712603.456292663,2013,2482486.713338134,13643776.411413522,19781430.501171805
Kansas City,9690430.301055897,2014,2506488.0332313664,5785583.343143829,13595277.258967966
Kansas City,11062477.605329847,2015,2530489.353684162,9444492.556326728,12680462.654332966
Kansas City,22806073.195395082,2016,2552328.4430833794,19790870.92370121,25821275.46708895
Kansas City,16042049.969664924,2017,2574167.5327647654,15074101.007690027,17009998.93163982
Kansas City,28174968.031114932,2018,2596006.6188178104,34645492.859226644,21704443.20300322
Kansas City,10086833.546611674,2019,2617845.7059139363,5554749.424708985,14618917.668514363
Kansas City,18326490.24818959,2020,2639684.7974115675,17298288.91506468,19354691.581314497
Riyadh,85741953.3972542,2010,6539526.195236338,58649034.95632188,112834871.83818652
Riyadh,78612343.9716613,2011,6717591.78183879,55452776.94519654,101771910.99812604
Riyadh,120806046.96348941,2012,6895657.36655733,95888794.10653596,145723299.82044286
Riyadh,82517420.73734199,2013,7073722.939473461,54380921.68197433,110653919.79270965
Riyadh,138455970.00852156,2014,7251788.513505094,115044219.1081211,161867720.90892202
Riyadh,142751920.4122013,2015,7429854.104543225,101583064.95154062,183920775.87286198
Riyadh,131629948.41893274,2016,7564765.666591472,108407785.20403151,154852111.63383394
